Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
True North Venture Partners,https://www.truenorthvp.com/,,,,,VC,,
True Ventures,https://trueventures.com/,"Palo Alto, California, United States",USA,3. Early Revenue,,VC,,
True Wealth Ventures,https://truewealthvc.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Truffle Capital,https://www.truffle.com/,"5 rue de la Baume, Paris, 75008, FR","France,Belgium,Germany,Italy,Netherlands","3. Early Revenue,4. Scaling,5. Growth",We invest in fintech & insurtech with an emphasis on our ecosystem whereby portfolio companies will have partnering opportunities with banks & insurance companies that are LPs of Truffle funds,VC,$1000000,$6000000
Trust Esport,https://www.trust-esport.com/en/,"c/o Apicap, 2, rue Goethe, 75116 Paris, France","France,Portugal,Germany,Belgium,Spain,Sweden,Denmark,Finland,Netherlands,Poland","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in EU-based Esports and gaming startups.,VC,$500000,$2500000
TS Ventures,https://www.tsventures.io/,"Schloßstr. 20, 51429 Cologne, Germany","Germany,France,Spain,Italy,Finland,Sweden,Denmark,Portugal,Belgium,Greece,Ireland,USA,Austria,Switzerland,Croatia,Ukraine,Russia,UK,Slovenia,Slovakia,Serbia,Romania","2. Prototype,3. Early Revenue,4. Scaling","We invest in SaaS, AdTech, Marketplace, and (Climate) Impact Startups. ",Angel network,$200000,$600000
TSEF The Social Entrepreneurs' Fund,https://www.tsef.com/,,,,,VC,,
Tsing Capital,http://www.tsingcapital.com/,China,China,,"We invest in environment protection, renewable energy, energy efficiency, new materials, EV, IoT, Robotics, and sustainable agriculture.",VC,,
Tsingyuan Ventures,http://www.tsingyuan.ventures/,"280 Second Street, Suite C, Los Altos, California 94022, US",USA,"3. Early Revenue,2. Prototype,4. Scaling","We invest in deep-tech cross-disciplinary early-stage startups across software, life science, and hard tech. ",VC,$500000,$2000000
Tsuneishi Capital Partners,http://www.tsuneishi-g.jp/english/,,Japan,,,Corporate VC,,
Tuatara Capital,http://www.tuataracapital.com,,,,,VC,,
Tuesday,https://tuesday.vc/,"1 Bluxome St, San Francisco, CA 94107, United States",USA,,,Other,,
Tugboat Ventures,http://www.tugboatventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Tullis Growth Fund,http://www.tullisfunds.com/,,,,,VC,,
Turenne,https://www.turennecapital.com/,,France,,,Other,,
Turn8,http://turn8.co/team,UAE,"USA,Israel,Canada",2. Prototype,,VC,$100000,
Tusk Ventures,https://tuskventures.com/,USA,USA,3. Early Revenue,,VC,,
TVM Capital Life Science,https://www.tvm-lifescience.com/,,UK,,,VC,,
Twelve19 Ventures,http://www.twelve19ventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Twenty65,https://www.twenty65fund.com/,,,,,VC,,
Twin Peaks Capital,http://twinpeaks.capital,"San Francisco, California, United States",USA,,,Family office,,
Twin Ventures,https://www.twin.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
TwinFocus Capital Partners,http://www.twinfocuscapital.com/,"Boston, Massachusetts, United States",USA,,,Family office,,
Two Culture Capital,https://www.twoculturecap.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Two Sigma Ventures,https://twosigmaventures.com/,"New York, New York, United States","USA,Israel,Canada",3. Early Revenue,,VC,,
TX Ventures,https://ventures.tx.group/,"Werdstrasse 21, CH-8004 Zurich, Switzerland","Switzerland,Germany,Austria","4. Scaling,3. Early Revenue","We invest in the following verticals:

- You build a startup in Consumer FinTech, Digital Entertainment, or Productivity

-‍ You operate in Switzerland or plan to expand here

- You have a history of first revenues (typically Series A)

- You are ambitious, challenge the status quo, and want to grow",Corporate VC,$500000,$3000000
Tyche Asset Management,https://www.tycheam.com.au/,Australia,Australia,,,Other,$500000,
Tyler Texas Angel Network,http://tylertexasangelnetwork.com/,,,,,Angel network,,
TYLT Ventures,https://www.tyltventures.com/,,USA,,,Other,,
UB Ventures,https://ubv.vc/,,Japan,,,VC,,
Ubiquity Ventures,http://www.ubiquity.vc/,USA,USA,3. Early Revenue,,VC,,
UCL Technology Fund,https://www.ucltf.co.uk/,UK,UK,3. Early Revenue,,VC,,
Ucrowdme,https://www.ucrowdme.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Übermorgen Ventures,https://www.uebermorgen.vc/,,UK,,,VC,,
Ufi Ventures,https://ufi.co.uk/ufi-ventures/,"First Floor 10 Queen Street Place London EC4R 1BE, UK",UK,3. Early Revenue,"We invest in companies that are building digital technologies to give people and businesses the skills needed for work, now and in the future.",VC,$75000,$225000
UK Business Angels Association,http://www.ukbusinessangelsassociation.org.uk/,,,,,Angel network,,
UL Ventures,https://www.ul.com/about/ventures,"Northbrook, Illinois, United States",USA,,,Corporate VC,,
Ulatan & Associates,http://ulatan.org,"New York, New York, United States",USA,,,Family office,,
Ulatan Global Investments,http://www.ugicapital.com,"New York, New York, United States",USA,,,Family office,,
Uncork Capital,https://uncorkcapital.com/,"221 Main St Suite 1600 San Francisco, CA 94105","Canada,USA,Israel","2. Prototype,3. Early Revenue",We invest in outliers and out-performers who use technology to solve real problems for real people and real businesses. Your product or service should be differentiated and special. You should be obsessed with the idea and uniquely qualified to build and scale it. The sector you are targeting should be large enough to support a few public companies.,VC,$700000,$2000000
Undeterred Capital,https://www.undeterredcapital.com/,,,,,Other,,
Unicorn India Ventures,https://www.unicornivc.com/,,,,,VC,,
UniCredit EVO,https://www.unicreditgroup.eu/en/unicredit-at-a-glance/innovation/unicreditevo.html,Italy,Italy,3. Early Revenue,,Corporate VC,,
Unilever Ventures,http://www.unileverventures.com/,"London, England, United Kingdom","USA,Israel,Canada,UK",3. Early Revenue,,Corporate VC,,
Union Tech Ventures,http://uniontech.co.il/,,,,,Corporate VC,,
Uniseed,https://uniseed.com/,Australia,Australia,,,VC,,
United Investors,https://unitedinvestors.ru/,"Russia, Moscow","Afghanistan,Albania,Andorra,Algeria,Antigua and Barbuda,Argentina,Armenia,Angola,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Holy See,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lesotho,Lebanon,Liberia,Lithuania,Liechtenstein,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Micronesia,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","2. Prototype,3. Early Revenue,4. Scaling",We invest in revenue-first startups,Angel network,$50000,$2000000
United Talent Agency,https://www.unitedtalent.com/,,,,,Other,,
Unitus Ventures,https://unitus.vc/,"Axilor Transit, 3rd Floor, Sobha Pearl, Commissariart Road, Sivanchetti Gardens, Bangalore, Karnataka 560025, IN",India,"3. Early Revenue,4. Scaling","We invest in early-stage fintech, healthcare, and jobtech startups with India scale and global emerging market potential.",VC,$500000,$1000000
UnityPoint Health Ventures,https://unitypointhealthventures.org/,"West Des Moines, Iowa, United States",USA,,,Corporate VC,,
UnityVC,http://www.unityvc.com/en.html?12h10c#page1,China,China,3. Early Revenue,,VC,,
Universal Materials Incubator,http://www.umi.co.jp/,,Japan,,,VC,,
University Ventures,http://universityventures.com/,,,,,VC,,
UniWill Ventures,http://www.uniwill.co,"Palo Alto, California, United States",USA,,,Family office,,
Unknown Ventures,https://www.unknown.vc/,"201 E 5th St, Austin, Texas 78701, US",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling",We invest in pre-seed to Series A startups in emerging spaces.,Startup studio,$50000,$1500000
Unlock Venture Partners,https://www.unlockvp.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Unorthodox Ventures,https://www.unorthodoxventures.com/,"Austin, Texas, United States",USA,,,Family office,,
Unpopular Ventures,https://unpopular.vc/,"90 Gold St, San Francisco, CA 94133, United States","Algeria,Australia,Vietnam,USA,Sweden,UK,Ukraine,Austria,Brazil,Belgium,Bangladesh,Canada,China,Afghanistan,Albania,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,Chile,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Yemen,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in the category leaders of tomorrow whose potential is being underestimated today.,VC,$100000,$500000
Unshackled Ventures,https://www.unshackledvc.com/,"435 Hamilton Ave, Palo Alto, CA 94301, US","USA,Canada","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in teams that have one or more founders who are first or second generation to the U.S.,VC,$150000,$500000
Unusual Ventures,https://unusual.vc/,USA,USA,3. Early Revenue,,VC,,
Up Partners,https://www.up.partners/,"Santa Monica Airport, CA, USA","USA,Australia,Germany,South Africa","3. Early Revenue,2. Prototype,4. Scaling",We invest in enabling multi-dimensional mobility. We invest in anything that helps the ecosystem of transportation develop.,VC,$500000,$5000000
UP2398,https://www.up2398.com/,,,,,VC,,
UPC Capital Ventures,https://upccapitalventures.com/,,,,,VC,,
Updata Partners,http://www.updata.com/,,,,,VC,,
Upfront Ventures,https://upfront.com/,"Santa Monica, California, United States",USA,3. Early Revenue,,VC,,
UpHonest Capital,https://www.uphonestcapital.com/,"San Francisco, California, United States",USA,,,Other,,
Uprising Capital,http://www.uprisingcapital.com/,,,,,VC,,
UPS Ventures,http://www.ups.com/sef,"Atlanta, Georgia, United States",USA,,,Corporate VC,,
Upscale Strategies,https://www.upscale.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Upside Partnership,https://www.upsidevc.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Upstart Lab,https://upstartlab.org/programs/accelerators/,,,,,"Incubator, Accelerator",,
Upswell Ventures,https://www.upswellvc.com,Australia,Australia,,,VC,$500000,
UpWest Labs,https://upwest.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Urban Innovation Fund,https://www.urbaninnovationfund.com/,"San Francisco, CA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in startups shaping the future of cities. Areas of interest include mobility, energy & water, future of work, proptech, food, business services/ fintech, health, and civic tech. ",VC,$750000,$1500000
Urban Us,https://urban.us/,,,"2. Prototype,3. Early Revenue",,VC,,
Urbana-Champaign Angel Network,http://www.champaigncountyedc.org/business-services/small-business-services/angel-investing,,,,,Angel network,,
US Renewable Group,http://usregroup.com/,,,,,VC,,
USAA Corporate Development,https://usaacorpdev.com/,"San Antonio, Texas, United States",USA,,,Corporate VC,,
USV Union Square Ventures,https://www.usv.com/,"New York, New York, United States","USA,France","3. Early Revenue,4. Scaling",,VC,,
USVP US Venture Partners,https://www.usvp.com/,"1460 El Camino Real, Menlo Park, CA 94025","USA,Israel",3. Early Revenue,"We invest in SaaS, Cloud, Cybersecurity, e-Commerce, Health and Healthcare IT
More details https://www.usvp.com/about/",VC,$5000000,$10000000
UTA Ventures,http://ventures.unitedtalent.com/,"Beverly Hills, California, United States",USA,,,Corporate VC,,
UTEC - The University of Tokyo Edge Capital,https://www.ut-ec.co.jp/english/,"The University of Tokyo, Japan","Japan,India,Singapore,USA,UK","2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","UTEC - The University of Tokyo Edge Capital Partners, is a Japan-based seed/early stage deep-tech venture capital firm associated with academic institutes such as The University of Tokyo. UTEC has over $500M Assets Under Management, and has invested in 100+ companies in Japan, USA, Singapore, India and Europe with a track record of 13 IPOs and12 successful M&A (as of Mar 2021). UTEC predominantly invests in three deep-tech sectors: a) Healthcare & Life Sciences, b) IT/AI, and c) Physical Sciences & Engineering.",VC,$1000000,$4000000
UVC Partners,https://www.uvcpartners.com/,"Lichtenbergstr. 6 85748 Garching by Munich, Germany","Germany,Switzerland,Austria,Belgium,Netherlands,Luxembourg,Denmark,Sweden","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage B2B tech startups in Europe in the fields of Enteprise Software, Industrial Technologies and Mobility.",VC,$500000,$5000000
V1.VC,https://www.v1.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
V2 Games,https://www.v2g.io/,,,,,Other,,
Vaizra Investments,http://www.vaizra.com,,,,,VC,,
Valar Ventures,https://valar.com/,,"USA,France","3. Early Revenue,4. Scaling",,Other,,
Valentis Capital,https://valentiscapital.com/,,,,,VC,,
Valhalla Angels,https://valhallaprivatecap.com/services/angel-investing/,,,,,Angel network,,
Valia Ventures,https://www.valia.vc/,"595 Pacific Avenue Jackson Square San Francisco, CA 94133","USA,UK,UAE,Canada,France,Nigeria,Kenya","2. Prototype,3. Early Revenue,4. Scaling",We invest in founders building tomorrow’s most iconic companies.,VC,$75000,$1000000
Validé,https://valide.no/,,UK,,,VC,,
Valley Growth Ventures,http://www.valleygrowthventures.com,,,,,VC,,
Valley Oak Investments,http://www.valleyoakinvestments.com,"San Francisco, California, United States",USA,,,Family office,,
Valor Capital Group,https://valorcapitalgroup.com/,"New York, New York, United States",USA,,,Other,,
ValorVC,http://www.valor.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Value Creation Capital,https://www.vcxc.com/,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
ValueStream Ventures,http://valuestreamlabs.com,,,,,VC,,
ValueStreet Equity Partners,https://valuestreet.com,"San Diego, California, United States",USA,,,Family office,,
Vamos Ventures,https://www.vamosventures.com/,,,,,VC,,
Van Herk Ventures,http://www.vanherkgroep.nl,"Rotterdam, Zuid-Holland, The Netherlands",Netherlands,,,Corporate VC,,
Van Wagoner Ventures,http://www.vwcm.com,,,,,VC,,
Van Wickle Ventures,https://www.vanwickleventures.com/,"69 Brown St, Providence, RI 02906, USA",USA,"3. Early Revenue,2. Prototype,4. Scaling,5. Growth,6. Pre-IPO",We invest in Brown/RISD affiliated founders across all stages and industries. ,VC,$10000,$50000
Vantec Angel Network,http://vantec.ca/,,,,,Angel network,,
Vanderlande Industries,https://www.vanderlande.com/,Netherlands,USA,3. Early Revenue,,Corporate VC,,
Vandewater Capital Holdings,http://www.vandewater.com/,"New York, New York, United States",USA,,,Family office,,
Vanedge Capital Partners,https://www.vanedgecapital.com/,,Canada,,,Other,,
Varshney Capital,https://www.varshneycapital.com/,,Canada,,,Other,,
Vast Ventures,https://www.vastvc.com/,USA,USA,3. Early Revenue,,VC,,
Vaughan Capital Advisors,https://www.vaughancapital.com/,,,"4. Scaling,5. Growth",,VC,,
VCCorp,https://vccorp.vn/,,,,,Corporate VC,,
Vectr Ventures,https://vectr.co/,"Talon Tower, 38 Connaught Rd W, Sheung Wan, Hong Kong","USA,UK,Israel,Indonesia,Singapore,Vietnam","3. Early Revenue,1. Idea or Patent,2. Prototype","We invest in the future of work, new commerce and commerce infrastructure, consumerization of health.

Our 3 core pillars are hyper-urbanization, regenerative economy, and the future of life.",VC,$200000,$1500000
Vedanta Capital,https://vedacap.com/,USA,USA,3. Early Revenue,,VC,,
Vega Ventures,https://www.vegaventures.com/,,Hong Kong,,,VC,,
VegInvest,https://www.veginvesttrust.com/,USA,USA,3. Early Revenue,,VC,,
Vela Partners,http://vela.partners/,,,"2. Prototype,3. Early Revenue",,VC,,
Velo Capital Partners,http://www.velopartners.co.uk/,,,"2. Prototype,3. Early Revenue",,VC,,
Velocity Capital,https://www.velocityfintech.com/team/,,"Netherlands,UK","4. Scaling,5. Growth",,VC,,
Velocity Creative Accelerator,https://velocity.ccetriad.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Velocity Partners,https://velocitypartners.vc/,"123 Pireos Ave, 118 54, Athens, Greece",Greece,"3. Early Revenue,2. Prototype","We invest at pre-seed / seed stage, across sectors, in market pull companies with global focus led by Greek founders. ",VC,$300000,$1000000
Velorum Capital,http://velorumcapital.com/,USA,USA,,,VC,,
Velos Partners,http://velospartners.com/,,,,,VC,,
Vendep Capital,https://www.vendep.com/,"Keilaranta 8, Espoo, Finland","Finland,Sweden,Denmark,Estonia,Latvia,Lithuania",4. Scaling,We invest in SaaS startups across Nordics and Baltics.,VC,$600000,$1200000
Venionaire Investment,http://www.venionaire.com/venturecapital/,,,,,VC,,
Venista Ventures,https://venista-ventures.com/,"Friesenpl. 4, 50672 Köln, Germany","Germany,Austria,Switzerland,France,Belgium,Netherlands,Luxembourg,UK,Denmark,Sweden,Norway,Finland,Estonia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in outstanding teams based in Western Europe & the Nordics working on tech-driven enterprise and consumer startups.,VC,$50000,$175000
Venrock,https://www.venrock.com/,"Palo Alto, California, United States","USA,Israel,Canada","2. Prototype,3. Early Revenue",,VC,,
Ventech China,http://www.ventechchina.com/,"Shanghai, Shanghai, China",China,,,Corporate VC,,
Venture Highway,https://www.venturehighway.vc/,"2 Nambardar Estates, Gurudwara Rd, Navjivan Buddh Vihar, Taimoor Nagar, New Friends Colony, New Delhi","India,USA","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-product/early revenue Indian teams using technology in commerce, education, finance, human capital, marketing, and social",VC,$200000,$2500000
Venture Inc,https://www.ventureinc.com/,"Zwycieska 45/3, Wroclaw, 50-033, Poland","USA,UK,Ukraine,Estonia,Poland","2. Prototype,3. Early Revenue",We invest in software startups with no or early revenue,VC,$100000,$1000000
Venture Investors,https://ventureinvestors.com/,USA,USA,3. Early Revenue,,VC,$250000,
Venture Israel,https://ventureisrael.com/,,UK,,,VC,,
Venture MENA,http://www.venturemena.com/,"34th Floor, 3416 ResCo-Work04, Al Maqam Tower Abu Dhabi Global Market, Abu Dhabi, UAE","UAE,Saudi Arabia,Egypt,Kuwait,Qatar,Bahrain,Jordan,Palestine,Iraq,Morocco,Algeria,Tunisia,Oman,Lebanon","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Middle East based early-stage technology entrepreneurs who are creating new tools and networks that enable businesses to operate in tomorrows market. We will invest in the seed range through Series A, adhere to a defined reserve allocation policy and give our LP bases access to co-investment and later stage opportunities. 
",VC,$50000,$100000
Venture Science,https://www.venture-science.com/,,USA,,,Other,,
Venture United,http://ventureunited.jp/,,Japan,,,VC,,
Venture51,http://venture51.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Ventureast,http://www.ventureast.net/,India,India,3. Early Revenue,,VC,,
VentureFounders,https://www.venturefounders.co.uk/,UK,UK,3. Early Revenue,,VC,,
VentureOut Fund,https://ventureoutny.com/,,,"2. Prototype,3. Early Revenue",,Other,,
Ventures Next,https://www.venturesnext.com/,,,,,Angel network,,
VentureWave Capital,https://venturewave.com/,,UK,,,VC,,
VentureWell,https://venturewell.org/,,,,,Angel network,,
Verdane Capital,http://www.verdane.com/,,,"4. Scaling,5. Growth",,Other,,
Verge Healthtech Fund,https://www.vergehc.com/,"Singapore, Singapore 189720, SG","Israel,USA,Canada,Finland,Estonia,Taiwan,Singapore,UK,Belarus,Poland,Vietnam",2. Prototype,"We invest in technology-centric solutions that expand access, quality and efficiency to healthcare across emerging markets.",VC,$250000,$500000
Veritas Venture Partners,http://www.veritasvc.com/,,,"5. Growth,6. Pre-IPO",,VC,,
Verizon Ventures,http://www.verizonventures.com,"Basking Ridge, New Jersey, United States",USA,,,Corporate VC,,
Versant Ventures,https://www.versantventures.com/,USA,"USA,Canada",3. Early Revenue,,VC,,
Verse Capital Ventures,http://www.versecap.com/,,,,,VC,,
Version One Ventures,https://versionone.vc/,,Canada,,,Other,,
Vertex Ventures Israel,https://www.vertexventures.co.il/,"28 HaArba’a Street, Tel Aviv-Yafo, Northern Tower, Floor #29, Tel Aviv, IL",Israel,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage Israeli Tech companies led by globally-minded entrepreneurs who seek to disrupt global markets. Fields range from cyber security to digital health. Check out portfolio to see the variety.,VC,$500000,$8000000
Vertical Venture Partners,https://vvp.vc/,USA,USA,3. Early Revenue,,VC,,
Vesalius Biocapital,https://www.vesaliusbiocapital.com/,Germany,Germany,,,VC,,
VestedWorld,https://www.vestedworld.com/,,,,,Other,,
VF Venture,http://www.vfventure.com/,,,,,Other,,
VGames,https://www.vgames.vc/,,UK,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
VI Ventures,https://www.en.vi-ventures.com/,,China,,,Other,,
Vickers Venture Partners,https://www.vickersventure.com/,Singapore,"Singapore,UK,USA,China,Israel,Canada",3. Early Revenue,,VC,,
Victress Capital,http://www.victresscapital.com/#,,,"2. Prototype,3. Early Revenue",,VC,,
Vigo Ventures,http://vigo.ventures/,Poland,Poland,,,VC,,
Viking Capital,http://www.vikingcapital.co,"Beijing, Beijing, China",China,,,Corporate VC,,
Viking Global,https://www.vikingglobal.com/default.aspx,USA,USA,3. Early Revenue,,VC,,
VilCap Investments,https://vilcap.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Vinci Venture Capital,https://www.vincivc.com/,"Amstelveenseweg 500, 1081 KL Amsterdam, Netherlands","Germany,UK,Turkey","3. Early Revenue,4. Scaling","We invest in early-stage European industrial technologies within logistics/supply chain, energy management and storage, automotive and mobility technologies, and industry 4.0 (incl. AI, AR/VR, additive manufacturing, robotics/drones, cybersecurity, blockchain)",VC,$100000,$700000
Vine St. Ventures,http://vinestventures.com/,,USA,,,Other,,
Vine VC,https://vine.vc/,"San Francisco, CA, United States","USA,Canada,UK,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,6. Pre-IPO,5. Growth","We invest in the advancement of conscious health and wellbeing, with a focus on psychedelics (e.g., drug development, manufacturing, distribution) and psychedelic culture.",VC,$50000,$500000
Vintage Investment Partners,http://vintage-ip.com,,,"5. Growth,6. Pre-IPO",,VC,,
Viola Ventures,"https://www.viola-group.com/
 https://www.viola-group.com/fund/violaventures/",,,"3. Early Revenue,4. Scaling",,VC,,
Visionaries Club,https://visionaries.vc/,,UK,,,VC,,
VisionTech Angels,http://www.visiontech-partners.com/,,,,,Angel network,,
Viss Media,http://www.vissmedia.com/,,,"4. Scaling,5. Growth",,VC,,
Vital Capital,https://www.vital-capital.com/,,,,,Other,,
VITALIZE Venture Capital,https://vitalize.vc/,"415 N. LaSalle Dr., Suite 504, Chicago, IL 60654",USA,"3. Early Revenue,2. Prototype",We invest in the Work Revolution: US-based B2B software startups in future of learning and future of work,VC,$250000,$500000
Vito Ventures,http://www.vito.vc,"Munich, Bayern, Germany","Israel,USA,Canada,Germany",3. Early Revenue,,Corporate VC,,
Vitruvian Partners,http://www.vitruvianpartners.com,UK,"Canada,Israel,UK,USA",4. Scaling,"We invest in primary and/or secondary capital in rapidly growing companies to support and accelerate growth. We target growth capital and management buyout deals, investing between €25m-€250m in companies typically valued between €75m-€1bn+.",VC,$25000000,$250000000
Vitulum Ventures,http://vitulumventures.com/,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Vivo Capital,http://vivocapital.com/,"Palo Alto, California, United States",USA,,,Other,,
VMG Partners,http://www.vmgpartners.com/,,,"4. Scaling,5. Growth",,VC,,
VMS Group,http://www.vmsam.com/,,,"4. Scaling,5. Growth",,VC,,
VNT Management,http://vntm.com/aboutvntm,Finland,Finland,"3. Early Revenue,4. Scaling",,VC,$500000,
VOC Capital Partners,https://voccp.com/,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Vodafone Ventures,https://www.vodafone.com/business/why-vodafone/vodafone-business-ventures,UK,"USA,Israel,Canada,UK","2. Prototype,3. Early Revenue,4. Scaling",,Corporate VC,$2000000,
Vodia Ventures,https://www.vodiacapital.com/venture-capital/,,,,,VC,,
Vogel Ventures,http://vogelventures.de/,"Berlin, Berlin, Germany",Germany,,,Corporate VC,,
Volery Capital Partners,https://www.volerycapital.com/,,,,,Other,,
Volkswagen CVC,https://www.volkswagenag.com/,Germany,"USA,Israel,Canada,Germany","3. Early Revenue,4. Scaling",,Corporate VC,,
Volo Earth Ventures,https://www.voloearth.com/,"55 Elbert Ln, Snowmass Village, Colorado 81615, US",USA,,"We invest in companies that generate quantifiable carbon benefit across four verticals: electricity, buildings, mobility, embodied carbon",VC,,
